Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1854+0012g,MSP,,2.710000e-03,,,,,3.343621e+01,-5.455974e-01,4.077000e+00,2.041000e+02,,,,,,,,,,,,
J1855-1436,HE,5.224307e+09,3.594092e-03,1.090000e-20,2.002893e+08,,,2.035938e+01,-7.570149e+00,5.127000e+00,1.092080e+02,,,DD,,,2.974000e-04,,,,,,
J1857+0943,MSP,4.761830e+09,5.362101e-03,1.784132e-20,3.129904e+08,,,4.229030e+01,3.060416e+00,1.200000e+00,1.330000e+01,,3.441451e+01,T2,,,2.170418e-05,,,,,,
J1858+0244g,MSP,,2.610000e-03,,,,,3.611429e+01,-2.160047e-01,4.724000e+00,2.826000e+02,,,,,,,,,,,,
J1858-2216,HE,9.940107e+09,2.384013e-03,3.800000e-21,9.631548e+07,,,1.358062e+01,-1.139329e+01,9.210000e-01,2.663100e+01,,,ELL1,,,1.304940e-04,,,,,,
J1858-5422,HE,9.065248e+09,2.355496e-03,4.116885e-21,9.964960e+07,,,3.420660e+02,-2.269102e+01,1.208000e+00,3.081900e+01,,5.746811e+01,ELL1,,,,,,,,,
J1859+0026g,MSP,,8.570000e-03,,,,,3.429030e+01,-1.699789e+00,6.506000e+00,3.341000e+02,,,,,,,,,,,,
J1859+0313g,MSP,,1.610000e-03,,,,,3.672484e+01,-3.468204e-01,3.075000e+00,1.077000e+02,,,,,,,,,,,,
J1859+0658g,MSP,,5.110000e-03,,,,,4.000215e+01,1.480819e+00,9.349000e+00,2.904000e+02,,,,,,,,,,,,
J1900+0308,MSP,1.317303e+10,4.909239e-03,5.904654e-21,1.722877e+08,,,3.679848e+01,-6.577146e-01,4.801000e+00,2.498980e+02,,,ELL1,,,0.000000e+00,,,,,,
J1901+0300,MSP,2.702297e+09,7.796776e-03,4.571387e-20,6.041315e+08,,,3.681118e+01,-9.743207e-01,5.304000e+00,2.538870e+02,,,ELL1,,,3.026549e-06,,,,,,
J1901-0125,HE,1.237623e+09,2.793365e-03,3.576063e-20,3.198280e+08,,,3.281745e+01,-2.902271e+00,2.361000e+00,7.042000e+01,,5.987172e+01,,,,,,,,,,
J1902-5105,HE,3.000967e+09,1.742400e-03,9.199255e-21,1.281151e+08,,,3.456501e+02,-2.237863e+01,1.646000e+00,3.625050e+01,,5.081356e+01,ELL1,,,5.863747e-06,,,,,,
J1903+0327,MSP,1.809873e+09,2.149912e-03,1.882082e-20,2.035540e+08,,,3.733634e+01,-1.013611e+00,7.000000e+00,2.975000e+02,,1.859279e+02,DD,,,4.366784e-01,,,,,,
J1903+0839g,MSP,,4.620000e-03,,,,,4.204145e+01,1.196814e+00,5.312000e+00,1.665000e+02,,,,,,,,,,,,
J1903-7051,HE,5.463641e+09,3.597898e-03,1.043357e-20,1.960608e+08,,,3.243910e+02,-2.650771e+01,9.300000e-01,1.966120e+01,,8.051163e+01,ELL1,,,2.029662e-06,,,,,,
J1904+0207g,MSP,,5.040000e-03,,,,,3.633309e+01,-1.989969e+00,5.999000e+00,2.299000e+02,,,,,,,,,,,,
J1904+0451,MSP,1.688726e+10,6.092368e-03,5.716010e-21,1.888381e+08,,,3.880598e+01,-7.868360e-01,4.401000e+00,1.827050e+02,,,,,,,,,,,,
J1904+0553g,MSP,,4.910000e-03,,,,,3.962995e+01,-1.635327e-01,4.013000e+00,1.642000e+02,,,,,,,,,,,,
J1904+0836g,MSP,,4.440000e-03,,,,,4.207821e+01,1.016460e+00,2.926000e+00,9.050000e+01,,,,,,,,,,,,
J1904+0852g,MSP,9.731650e+09,6.197430e-03,1.009000e-20,2.530471e+08,,,4.237079e+01,1.073390e+00,5.925000e+00,1.951590e+02,,,,,,,,,,,,
J1904-11,HE,,2.620000e-03,,,,,2.410043e+01,-8.100662e+00,4.659000e+00,9.770000e+01,,,,,,,,,,,,
J1905+0154A,MSP,,3.192941e-03,,,,,3.620840e+01,-2.201217e+00,7.600000e+00,1.936920e+02,,2.393550e+02,ELL1,,,,,,,,,
J1905+0400,MSP,1.222385e+10,3.784405e-03,4.905189e-21,1.378722e+08,,,3.809480e+01,-1.289086e+00,1.062000e+00,2.560000e+01,,4.143639e+01,,,,,,,,,,
J1906+0055,MSP,1.331259e+10,2.789552e-03,3.320000e-21,9.738370e+07,,,3.550502e+01,-2.999943e+00,4.477000e+00,1.268317e+02,,,ELL1,,,1.414214e-06,,,,,,
J1906+0454,MSP,1.107037e+10,2.083278e-03,2.981613e-21,7.975342e+07,,,3.904451e+01,-1.167135e+00,4.092000e+00,1.427930e+02,,2.954925e+02,ELL1,,,,,,,,,
J1906-1754,MSP,1.164564e+10,2.876350e-03,3.913312e-21,1.073601e+08,,,1.842648e+01,-1.123908e+01,6.780000e+00,9.809000e+01,,,BT,,,,,,,,,
J1908+0128,MSP,1.413935e+09,4.702324e-03,5.269255e-20,5.037103e+08,,,3.617048e+01,-3.080017e+00,2.630000e+00,7.510000e+01,,,ELL1,,,2.653439e-04,,,,,,
J1908+0949g,MSP,,9.050000e-03,,,,,4.356154e+01,7.973430e-01,6.002000e+00,2.203000e+02,,,,,,,,,,,,
J1908+2105,HE,2.936818e+09,2.564393e-03,1.383482e-20,1.906027e+08,,,5.369157e+01,5.775249e+00,2.601000e+00,6.190670e+01,,,ELL1,,,,,,,,,
J1909+1132g,MSP,,6.800000e-03,,,,,4.525334e+01,1.264777e+00,8.103000e+00,2.761000e+02,,,,,,,,,,,,
J1909-3744,MSP,3.329275e+09,2.947108e-03,1.402531e-20,2.057331e+08,,,3.597308e+02,-1.959581e+01,1.140000e+00,1.039250e+01,,2.001124e+02,T2,,,1.198541e-07,,,,,,
J1910+1054g,MSP,,3.870000e-03,,,,,4.473654e+01,8.856373e-01,4.372000e+00,1.394000e+02,,,,,,,,,,,,
J1910+1256,MSP,8.158400e+09,4.983584e-03,9.678384e-21,2.222400e+08,,,4.656387e+01,1.795207e+00,2.777758e+00,3.800000e+01,,9.355510e+01,T2,,,2.302400e-04,,,,,,
J1910-5320,MSP,9.989880e+08,2.332367e-03,3.699156e-20,2.972348e+08,,,3.436518e+02,-2.424903e+01,9.950000e-01,2.442000e+01,,3.306460e+01,BTX,,,,,,,,,
J1910-5959A,MSP,,3.266187e-03,-2.923772e-21,,,,3.365252e+02,-2.573034e+01,4.120000e+00,3.370400e+01,,1.000309e+02,ELL1H,,,8.668333e-07,,,,,,
J1910-5959B,MSP,,8.357799e-03,-7.904100e-19,,,,3.364940e+02,-2.562806e+01,4.120000e+00,3.328000e+01,,1.000309e+02,,,,,,,,,,
J1910-5959C,MSP,3.871028e+10,5.277327e-03,2.160000e-21,1.080398e+08,,,3.364636e+02,-2.566167e+01,4.120000e+00,3.321000e+01,,1.000309e+02,,,,,,,,,,
J1910-5959D,MSP,1.484538e+08,9.035285e-03,9.643100e-19,2.986959e+09,,,3.364927e+02,-2.562903e+01,4.120000e+00,3.328000e+01,,1.000309e+02,,,,,,,,,,
J1910-5959E,MSP,,4.571766e-03,-4.343500e-19,,,,3.364936e+02,-2.562833e+01,4.120000e+00,3.331000e+01,,1.000309e+02,,,,,,,,,,
J1910-5959F,MSP,1.813829e+08,8.485494e-03,7.412195e-19,2.537827e+09,,,3.364914e+02,-2.562851e+01,4.120000e+00,3.320000e+01,,1.000309e+02,,,,,,,,,,
J1911+0101A,MSP,,3.618524e-03,-6.580000e-21,,,,3.611091e+01,-3.918140e+00,8.400000e+00,2.026000e+02,,1.507883e+02,ELL1,,,0.000000e+00,,,,,,
J1911+0101B,MSP,,5.384326e-03,-2.000000e-21,,,,3.610897e+01,-3.926088e+00,8.400000e+00,1.966900e+02,,1.507883e+02,,,,,,,,,,
J1911+1347,MSP,4.330762e+09,4.625963e-03,1.692403e-20,2.831411e+08,,,4.751798e+01,1.809143e+00,2.499982e+00,3.099000e+01,,5.556942e+01,,,,,,,,,,
J1911-1114,MSP,4.118027e+09,3.625746e-03,1.395000e-20,2.275809e+08,,,2.513654e+01,-9.579237e+00,1.069000e+00,3.096650e+01,,8.656355e+01,ELL1,,,1.632667e-06,,,,,,
J1912+1417g,MSP,,3.170000e-03,,,,,4.802191e+01,1.903914e+00,2.164000e+00,6.660000e+01,,,,,,,,,,,,
J1913+0618,MSP,8.285689e+09,5.026861e-03,9.612455e-21,2.224414e+08,,,4.103444e+01,-1.959505e+00,5.862000e+00,1.559870e+02,,,DD,,,7.053000e-04,,,,,,
J1917+1259g,MSP,,5.630000e-03,,,,,4.742958e+01,2.349208e-01,3.637000e+00,1.170000e+02,,,,,,,,,,,,
J1918+1540g,MSP,,4.280000e-03,,,,,4.989662e+01,1.310102e+00,6.478000e+00,2.712000e+02,,,,,,,,,,,,
J1918+1547g,MSP,,3.760000e-03,,,,,5.002791e+01,1.311446e+00,2.185000e+00,6.460000e+01,,,,,,,,,,,,
J1918-0642,MSP,4.715304e+09,7.645873e-03,2.569114e-20,4.484925e+08,,,3.002655e+01,-9.123077e+00,1.190468e+00,2.659300e+01,,5.242299e+01,DDH,,,2.032000e-05,,,,,,
