Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1801-0857I,,,3.254176e-03,-1.641398e-20,,,,1.922855e+01,6.750566e+00,9.200000e+00,1.778770e+02,,2.063563e+02,,,,,,,,,,
J1803-3002A,,2.813516e+09,7.101393e-03,3.999081e-20,5.392645e+08,,,1.024544e+00,-3.925264e+00,7.300000e+00,1.926234e+02,,2.399745e+02,,,,,,,,,,
J1803-3002B,,,4.397000e-03,,,,,1.024544e+00,-3.925264e+00,7.300000e+00,1.926000e+02,,2.399745e+02,,,,,,,,,,
J1803-3002C,,1.327218e+08,5.840403e-03,6.972148e-19,2.041995e+09,,,1.023662e+00,-3.930803e+00,7.300000e+00,1.938800e+02,,2.399745e+02,,,,,,,,,,
J1803-3002D,,,5.530000e-03,,,,,1.024544e+00,-3.925264e+00,7.300000e+00,1.927300e+02,,2.399745e+02,,,,,,,,,,
J1803-3002E,,,1.792600e-02,,,,,1.022604e+00,-3.926925e+00,5.825000e+00,1.927900e+02,,,,,,,,,,,,
J1803-3002F,,,1.481360e-01,,,,,1.018490e+00,-3.931536e+00,6.120000e+00,1.958000e+02,,,,,,,,,,,,
J1804-0735,,7.835759e+08,2.310086e-02,4.671034e-19,3.324073e+09,,,2.079159e+01,6.773085e+00,8.200000e+00,1.863160e+02,,3.014867e+02,BT,,,2.120400e-01,,,,,,
J1807-2459A,,,3.059449e-03,-4.335000e-21,,,,5.837129e+00,-2.203133e+00,2.580000e+00,1.340040e+02,,2.292423e+02,BT,,,0.000000e+00,,,,,,
J1807-2459B,,8.056651e+08,4.186177e-03,8.232450e-20,5.940505e+08,,,5.835885e+00,-2.206051e+00,2.580000e+00,1.371540e+02,,2.292423e+02,DD,,,7.470332e-01,,,,,,
