Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J1857+0210,,7.123431e+05,6.309831e-01,1.403442e-14,3.011314e+12,,,3.558627e+01,-3.929696e-01,7.259000e+00,7.830000e+02,,,,,,,,,,,,
J1857+0212,,1.637172e+05,4.158573e-01,4.024538e-14,4.139808e+12,,,3.561697e+01,-3.900461e-01,8.000000e+00,5.048677e+02,,,,,,,,,,,,
J1857+0214g,,3.294481e+06,3.339177e-01,1.605900e-15,7.410183e+11,,,3.557678e+01,-2.410987e-01,7.758000e+00,9.820000e+02,,,,,,,,,,,,
J1857+0224g,,2.256486e+08,8.758740e-01,6.150000e-17,2.348596e+11,,,3.573282e+01,-1.764761e-01,5.299000e+00,3.990000e+02,,,,,,,,,,,,
J1857+0229g,RRAT,,5.840000e-01,,,,,3.581205e+01,-1.746287e-01,6.071000e+00,5.740000e+02,,,,,,,,,,,,
J1857+0300,,4.621671e+06,7.726780e-01,2.648900e-15,1.447712e+12,,,3.627418e+01,7.229127e-02,6.665000e+00,6.910000e+02,,,,,,,,,,,,
J1857+0526,,7.999656e+05,3.499512e-01,6.931100e-15,1.575995e+12,,,3.843811e+01,1.187138e+00,1.225700e+01,4.664000e+02,,,,,,,,,,,,
J1857+0809,,1.682000e+06,5.029239e-01,4.737424e-15,1.561968e+12,,,4.083930e+01,2.445940e+00,1.310100e+01,2.816000e+02,,,,,,,,,,,,
J1857+0943,,4.761830e+09,5.362101e-03,1.784132e-20,3.129904e+08,,,4.229030e+01,3.060416e+00,1.200000e+00,1.330000e+01,,3.441451e+01,T2,,,2.170418e-05,,,,,,
J1857-1027,,5.537484e+06,3.687219e+00,1.055000e-14,6.311400e+12,,,2.427451e+01,-6.063420e+00,4.046000e+00,1.089000e+02,,,,,,,,,,,,
J1858+0026g,,,4.714670e+00,,,,,3.407537e+01,-1.280853e+00,6.851000e+00,4.153000e+02,,,,,,,,,,,,
J1858+0215,,2.562553e+06,7.458280e-01,4.611391e-15,1.876659e+12,,,3.572492e+01,-4.927637e-01,7.228000e+00,7.020000e+02,,,,,,,,,,,,
J1858+0239,,2.236774e+05,1.976442e-01,1.400000e-14,1.683279e+12,,,3.608532e+01,-3.104116e-01,5.859000e+00,4.927000e+02,,,,,,,,,,,,
J1858+0241,,3.057911e+06,4.693233e+00,2.431718e-14,1.081042e+13,,,3.617947e+01,-4.296115e-01,5.077000e+00,3.240000e+02,,,,,,,,,,,,
J1858+0244g,,,2.610000e-03,,,,,3.611429e+01,-2.160047e-01,4.724000e+00,2.826000e+02,,,,,,,,,,,,
J1858+0310g,,,3.727500e-01,,,,,3.650740e+01,-3.290822e-02,6.716000e+00,7.034000e+02,,,,,,,,,,,,
